material,thermal_conductivity,density,specific_heat,wall_thickness,roof_thickness,length,width,height,orientation,insulation_thickness,window_to_wall_ratio,outdoor_temperature,humidity,solar_radiation,wind_speed,pressure,interior_temperature
polyurethane_sandwich,0.022,40.0,1400.0,0.156,0.317,5.2,3.98,2.62,266.6,0.109,0.26,-22.8,17.5,332.7,15.4,835.7,0.73
polyurethane_sandwich,0.022,40.0,1400.0,0.425,0.254,4.98,7.12,4.1,2.3,0.161,0.29,-1.2,22.4,1057.2,9.1,639.0,25.53
stabilized_earth_block,0.85,1800.0,880.0,0.279,0.19,5.38,3.3,3.36,44.9,0.184,0.08,-4.5,60.3,985.5,9.7,680.8,20.21
stabilized_earth_block,0.85,1800.0,880.0,0.123,0.153,5.6,3.56,2.89,36.4,0.056,0.27,0.5,39.6,309.5,7.4,993.4,17.78
polyurethane_sandwich,0.022,40.0,1400.0,0.136,0.283,7.81,4.71,3.37,97.2,0.185,0.29,-9.6,35.9,868.3,2.3,945.2,15.37
burnt_clay_brick,0.77,1900.0,840.0,0.301,0.101,11.22,6.97,3.91,76.5,0.1,0.36,20.0,21.4,239.6,18.9,826.4,22.19
polyurethane_sandwich,0.022,40.0,1400.0,0.392,0.367,6.59,4.54,4.49,183.4,0.018,0.07,-17.3,60.2,892.1,11.1,626.7,17.93
eps_insulated_concrete,0.038,1250.0,1100.0,0.398,0.23,5.26,6.87,4.38,244.9,0.023,0.36,27.6,71.5,440.2,8.0,666.4,31.01
stabilized_earth_block,0.85,1800.0,880.0,0.577,0.36,5.37,6.5,2.78,328.5,0.174,0.15,19.7,58.7,252.8,19.3,826.5,21.78
timber_frame,0.13,500.0,1600.0,0.559,0.272,7.4,3.78,3.16,354.7,0.161,0.13,-8.1,55.4,178.8,18.6,942.7,15.98
timber_frame,0.13,500.0,1600.0,0.483,0.121,7.28,6.85,2.96,314.1,0.085,0.12,12.8,68.4,301.2,8.5,1018.0,14.93
